"Ein beliebtes deutsches Urlaubsziel ist das ""Schw„bische Meer"". Wie lautet der korrekte Name des Sees?";Bodensee;Urlaub;202
Wie nennt man die kleinen Bauwerke, die besonders Kinder gerne am Strand bauen?;Sandburg;Urlaub;203
Welches Auto ohne Dach vermittelt bei sch”nem Wetterein besonderes Urlaubsgefhl?;das Cabrio;Urlaub;204
In welche europ„ische Hauptstadt muss man fahren, um das Goldene G„sschen und die Karlsbrcke zu besichtigen?;Nach Prag;Urlaub;205
"An warmen, sonnigen Tagen sind Bierg„rten besonders beliebte Aufenthaltsorte. Wie heiát die deutsche Stadt, die auch als ""Biergartenhauptstadt"" bezeichnet wird?";Mnchen;Urlaub;206
Wencke Myhre besang in einem ihrer Schlager ein Gummiboot. Welche Farbe hatte dieses?;rot;Urlaub;207
Wie hieá der berhmte Luxuszug, der bereits 1883 mit Schlaf- und Speisewagen von Paris nach Konstantinopel fuhr?;Orient-Express;Urlaub;208
Eine beliebte Freizeitbesch„ftigung ist die Philatelie. Welche Sammelleidenschaft verbirgt sich hinter dem Begriff?;das Sammeln von Briefmarken;Urlaub;209
Ein beliebtes Ziel fr Wintersportler heiát Davos. In welchem Land befindet sich dieser Luftkurort?;in der Schweiz.;Urlaub;210
Mit welchem Transportmittel unternimmt man eine Kreuzfahrt?;mit dem Schiff;Urlaub;211
Wo kann man das sagenhafte Ungeheuer von Loch Ness besuchen?;in Schottland/Groábritannien;Urlaub;212
Gerade im Urlaub g”nnt man sich gerne mal ein besonderes alkoholisches Mixgetr„nk wie Kir Royal, Gin Tonic, Bloody Mary oder Pink Lady. Wie nennt man diese Mischgetr„nke?;Cocktails.;Urlaub;213
Ein beliebtes Hobby, vor allem bei M„nnern, ist das Zusammenbauen von Schiffen, Flugzeugen, Geb„uden oder Fahrzeugen im Miniaturformat. Wie nennt man diese T„tigkeit?;Modellbau;Urlaub;214
In welchem Land kann man im Balaton baden?;in Ungarn;Urlaub;215
Was sammeln Kiner besonders gerne an Meeresstr„nden?;Muscheln;Urlaub;216
In New York kann man die berhmte Freiheitsstatue besichtigen. Tr„gt sie sie Fackel in der rechten oder linken Hand?;in der rechten Hand;Urlaub;217
"Ein besonderes Ereignis ist eine Fahrt in einer historischen Eisenbahn. Auf welcher deutschen Insel verkehrt regelm„áig der ""Rasende Roland""?";auf Rgen;Urlaub;218
Wie heiát der gr”áte See Italiens, der ein beliebtes Urlaubsziel ist?;Gardasee;Urlaub;219
"Woher kommt ein deutscher Tourist mit dem Autokennzeichen ""HH""?";aus (der Hansestadt) Hamburg;Urlaub;220
L„ngere Reisestrecken legt man gerne mit dem Flugzeug zurck. Wie nennt man die hilfreichen Flugbegleiterinnen?;Stewardessen;Urlaub;221
Von welchem deutschen Urlaubsziel bringt man gerne eine Kuckucksuhr als Souvenir mit nach Hause?;aus dem Schwarzwald;Urlaub;222
Wie heiát das gr”áte Volksfest der Welt, das jedes Jahr Ende September in Mnchen abgehalten wird?;Oktoberfest;Urlaub;223
Im Urlaub versucht man sich gerne mal im Glcksspiel. In welchen Einrichtungen kann man in Abendgarderobe Roulette, Black Jack und Poker spielen?;im Casino;Urlaub;224
Tierparks sorgen nicht nur bei Kindern fr gute Laune. In welchem Bundesland kann man den Vogelpark Walsrode besichtigen?;in Niedersachsen;Urlaub;225
Wenn es drauáen kalt und trb ist, erfreuen sich Thermlb„der besonderer Beliebtheit. Wie heiáen die Holzhtten, in denen man kr„ftig ins Schwitzen kommt?;Sauna;Urlaub;226
In welchem europ„ischen Urlaubsland zahlte man frher mit Drachmen?;in Griechenland;Urlaub;227
Welchen Namen tr„gt die Ostsee-Halbinsel, auf der man die Kaiserb„der Bansin, Heringsdorf und Ahlbeck findet?;Usedom;Urlaub;228
In welches Urlaubsland f„hrt man, wenn man eine Reise nach Dalmatien gebucht hat?;Kroatien;Urlaub;229
Wofr ben”tigt man beim Zelten Heringe?;zum Befestigen bzw. Verankern des Zeltes in der Erde;Urlaub;230
Welche Amtssprachen werden in Kanada verwendet?;englisch und franz”sisch;Urlaub;231
IN welchem Landkann man mit dem Bernina-Express und dem Glacier-Express durch eine bezaubernde Landschaft fahren?;in der Schweiz.;Urlaub;232
Welche Flsse flieáen in Koblenz am Deutschen Eck zusammen?;Rhein und Mosel;Urlaub;233
Wie heiát die Urlaubsregion in Branenburg, die fr ihre zahlreichen Flusskan„le und eingelegte Gurken bekannt ist?;Spreewald;Urlaub;234
Welches Ballspiel mit zwei Mannschaften und einem Netz wird an Str„nden gerne gespielt?;(Beach-)Volleyball;Urlaub;235
Wie heiát die elegante Pferderasse, die man in der Spanischen Hofreitschule in Wien bewundern kann?;Lipizzaner;Urlaub;236
Welcher deutsche See beherbergt eine Herreninsel und eine Fraueninsel?;der Chiemsee;Urlaub;237
Welche Bilderpost versendet man gerne aus dem Urlaub an Verwandte und Freunde?;Ansichtskarten;Urlaub;238
In welchem europ„ischen Land kann man Geysire (heiáe Wasserfont„nen, die von der Erde ausgestoáen werden) beobachten?;in Island;Urlaub;239
Womit schtzt man die Augen vor starker Sonneneinstrahlung?;mit einer Sonnenbrille;Urlaub;240
"Wie lautet ein bekannter Sommertitel von Conny Froboess weiter: ""Pack die ?""";"""Pack die Badehose ein, nimm dein kleines Schwesterlein und dann nichts wie raus nach Wannsee ?""";Urlaub;241
Welche Farbe haben Taxis in London?;Schwarz;Urlaub;242
Welche Verkehrsansammlung l„sst die Urlaubsreise mit dem Auto oft zur Geduldsprobe werden?;der Stau;Urlaub;243
"In welchem Urlaubsland wird man mit ""Hola"" begrát?";in Spanien;Urlaub;244
Wo fuhr 1835 die erste deutsche Eisenbahn?;von Nrnberg nach Frth;Urlaub;245
Auf welchem Erdteil kann man K„ngurus und Koalab„ren in freier Natur erleben?;in Australien;Urlaub;246
"Wenn man in Italien einer ""Farmacia"" aufsucht, handelt es sich um welche Einrichtung?";eine Apotheke;Urlaub;247
"Der ""Louvre"" gilt als das meistbesuchte Museum der Welt. In welcher Stadt findet man den Touristenmagneten?";in Paris;Urlaub;248
"Der Volksmund sagt: ""Wenn einer eine Reise tut, so ?""";"""Wenn einer eine Reise tut, so kann er was erz„hlen."" Der Text stammt ursprnglich aus einem Gedicht von Matthias Claudius und lautet im Original: ""Wenn jemand eine Reise tut, so kann er was verz„hlen.""";Urlaub;249
"Welche russische Stadt ist fr ihre zauberhaften weiáen N„chte bekannt und wir auch ""Venedig des Nordens"" genannt?";St. Petersburg;Urlaub;250
"Was ist der ""Hamburger Dom""?";ein Volksfest, das dreimal j„hrlich in Hamburg stattfindet.;Urlaub;251
